brand,model,horsepower,cylinders,displacement,weight,acceleration,model year,origin,power_to_weight,car_age,hp_per_cylinder
BMW,1 Series M,335.0,6.0,200,3000,15,80,1,0.11166666666666666,1946,55.833333333333336
BMW,1 Series,300.0,6.0,200,3000,15,80,1,0.1,1946,50.0
BMW,1 Series,230.0,6.0,200,3000,15,80,1,0.07666666666666666,1946,38.333333333333336
BMW,1 Series,320.0,6.0,200,3000,15,80,1,0.10666666666666667,1946,53.333333333333336
Audi,100,172.0,6.0,200,3000,15,80,1,0.05733333333333333,1946,28.666666666666668
FIAT,124 Spider,160.0,4.0,200,3000,15,80,1,0.05333333333333334,1946,40.0
Mercedes-Benz,190-Class,130.0,4.0,200,3000,15,80,1,0.043333333333333335,1946,32.5
Mercedes-Benz,190-Class,158.0,6.0,200,3000,15,80,1,0.05266666666666667,1946,26.333333333333332
BMW,2 Series,240.0,4.0,200,3000,15,80,1,0.08,1946,60.0
BMW,2 Series,320.0,6.0,200,3000,15,80,1,0.10666666666666667,1946,53.333333333333336
BMW,2 Series,335.0,6.0,200,3000,15,80,1,0.11166666666666666,1946,55.833333333333336
BMW,2 Series,248.0,4.0,200,3000,15,80,1,0.08266666666666667,1946,62.0
Audi,200,162.0,5.0,200,3000,15,80,1,0.054,1946,32.4
Audi,200,217.0,5.0,200,3000,15,80,1,0.07233333333333333,1946,43.4
Chrysler,200,184.0,4.0,200,3000,15,80,1,0.06133333333333333,1946,46.0
Chrysler,200,295.0,6.0,200,3000,15,80,1,0.09833333333333333,1946,49.166666666666664
Nissan,200SX,115.0,4.0,200,3000,15,80,1,0.03833333333333333,1946,28.75
Nissan,200SX,140.0,4.0,200,3000,15,80,1,0.04666666666666667,1946,35.0
Nissan,240SX,155.0,4.0,200,3000,15,80,1,0.051666666666666666,1946,38.75
Volvo,240,114.0,4.0,200,3000,15,80,1,0.038,1946,28.5
Mazda,2,100.0,4.0,200,3000,15,80,1,0.03333333333333333,1946,25.0
BMW,3 Series Gran Turismo,300.0,6.0,200,3000,15,80,1,0.1,1946,50.0
BMW,3 Series Gran Turismo,240.0,4.0,200,3000,15,80,1,0.08,1946,60.0
BMW,3 Series Gran Turismo,320.0,6.0,200,3000,15,80,1,0.10666666666666667,1946,53.333333333333336
BMW,3 Series Gran Turismo,248.0,4.0,200,3000,15,80,1,0.08266666666666667,1946,62.0
BMW,3 Series,241.0,4.0,200,3000,15,80,1,0.08033333333333334,1946,60.25
BMW,3 Series,335.0,6.0,200,3000,15,80,1,0.11166666666666666,1946,55.833333333333336
BMW,3 Series,240.0,4.0,200,3000,15,80,1,0.08,1946,60.0
BMW,3 Series,300.0,6.0,200,3000,15,80,1,0.1,1946,50.0
BMW,3 Series,180.0,4.0,200,3000,15,80,1,0.06,1946,45.0
BMW,3 Series,320.0,6.0,200,3000,15,80,1,0.10666666666666667,1946,53.333333333333336
BMW,3 Series,248.0,4.0,200,3000,15,80,1,0.08266666666666667,1946,62.0
Mercedes-Benz,300-Class,177.0,6.0,200,3000,15,80,1,0.059,1946,29.5
Mercedes-Benz,300-Class,158.0,6.0,200,3000,15,80,1,0.05266666666666667,1946,26.333333333333332
Mercedes-Benz,300-Class,228.0,6.0,200,3000,15,80,1,0.076,1946,38.0
Mercedes-Benz,300-Class,217.0,6.0,200,3000,15,80,1,0.07233333333333333,1946,36.166666666666664
